Name,Artist,Album,Track Number
"String Quartet No. 2 in A Major, Op. 68: IV. Theme with Variations",Borodin Quartet,Shostakovich: Complete Quartets,8
"String Quartet No. 4 in D Major, Op. 83: I. Allegretto",Borodin Quartet,Shostakovich: Complete Quartets,9
"String Quartet No. 4 in D Major, Op. 83: II. Andantino",Borodin Quartet,Shostakovich: Complete Quartets,10
"String Quartet No. 4 in D Major, Op. 83: III. Allegretto",Borodin Quartet,Shostakovich: Complete Quartets,11
"String Quartet No. 4 in D Major, Op. 83: IV. Allegretto",Borodin Quartet,Shostakovich: Complete Quartets,12
"String Quartet No. 3 in F Major, Op. 73: I. Allegretto",Borodin Quartet,Shostakovich: Complete Quartets,13
"String Quartet No. 3 in F Major, Op. 73: II. Moderato con moto",Borodin Quartet,Shostakovich: Complete Quartets,14
"String Quartet No. 3 in F Major, Op. 73: III. Allegro non troppo",Borodin Quartet,Shostakovich: Complete Quartets,15
"String Quartet No. 3 in F Major, Op. 73: IV. Adagio",Borodin Quartet,Shostakovich: Complete Quartets,16
"String Quartet No. 3 in F Major, Op. 73: V. Moderato",Borodin Quartet,Shostakovich: Complete Quartets,17
"Two Pieces for String Octet, Op. 11: No. 1 Prelude in D Minor",Borodin Quartet,Shostakovich: Complete Quartets,18
"Two Pieces for String Octet, Op. 11: No. 2 Scherzo in G Minor",Borodin Quartet,Shostakovich: Complete Quartets,19
"Piano Quintet in G Minor, Op. 57: I. Prelude (Live)",Borodin Quartet,Shostakovich: Complete Quartets,20
"Piano Quintet in G Minor, Op. 57: II. Fugue (Live)",Borodin Quartet,Shostakovich: Complete Quartets,21
"Piano Quintet in G Minor, Op. 57: III. Scherzo (Live)",Borodin Quartet,Shostakovich: Complete Quartets,22
"Piano Quintet in G Minor, Op. 57: IV. Intermezzo (Live)",Borodin Quartet,Shostakovich: Complete Quartets,23
"Piano Quintet in G Minor, Op. 57: V. Finale (Live)",Borodin Quartet,Shostakovich: Complete Quartets,24
"String Quartet No. 5 in B-Flat Major, Op. 92: I. Allegro non troppo (Live)",Borodin Quartet,Shostakovich: Complete Quartets,25
"String Quartet No. 5 in B-Flat Major, Op. 92: II. Andante (Live)",Borodin Quartet,Shostakovich: Complete Quartets,26
"String Quartet No. 5 in B-Flat Major, Op. 92: III. Moderato (Live)",Borodin Quartet,Shostakovich: Complete Quartets,27
"String Quartet No. 6 in G Major, Op. 101: I. Allegretto (Live)",Borodin Quartet,Shostakovich: Complete Quartets,28
"String Quartet No. 6 in G Major, Op. 101: II. Moderato con moto (Live)",Borodin Quartet,Shostakovich: Complete Quartets,29
"String Quartet No. 6 in G Major, Op. 101: III. Lento (Live)",Borodin Quartet,Shostakovich: Complete Quartets,30
"String Quartet No. 6 in G Major, Op. 101: IV. Lento – Allegretto (Live)",Borodin Quartet,Shostakovich: Complete Quartets,31
"String Quartet No. 7 in F-Sharp Minor, Op. 108: I. Allegretto (Live)",Borodin Quartet,Shostakovich: Complete Quartets,32
"String Quartet No. 7 in F-Sharp Minor, Op. 108: II. Lento (Live)",Borodin Quartet,Shostakovich: Complete Quartets,33
"String Quartet No. 7 in F-Sharp Minor, Op. 108: III. Allegro (Live)",Borodin Quartet,Shostakovich: Complete Quartets,34
"String Quartet No. 8 in C Minor, Op. 110: I. Largo",Borodin Quartet,Shostakovich: Complete Quartets,35
"String Quartet No. 8 in C Minor, Op. 110: II. Allegro molto",Borodin Quartet,Shostakovich: Complete Quartets,36
"String Quartet No. 8 in C Minor, Op. 110: III. Allegreto",Borodin Quartet,Shostakovich: Complete Quartets,37
"String Quartet No. 8 in C Minor, Op. 110: IV. Largo",Borodin Quartet,Shostakovich: Complete Quartets,38
"String Quartet No. 8 in C Minor, Op. 110: V. Largo",Borodin Quartet,Shostakovich: Complete Quartets,39
"String Quartet No. 9 in E-Flat Major, Op. 117: I. Moderato con moto (Live)",Borodin Quartet,Shostakovich: Complete Quartets,40
"String Quartet No. 9 in E-Flat Major, Op. 117: II. Adagio (Live)",Borodin Quartet,Shostakovich: Complete Quartets,41
"String Quartet No. 9 in E-Flat Major, Op. 117: III. Allegretto (Live)",Borodin Quartet,Shostakovich: Complete Quartets,42
"String Quartet No. 9 in E-Flat Major, Op. 117: IV. Adagio (Live)",Borodin Quartet,Shostakovich: Complete Quartets,43
"String Quartet No. 9 in E-Flat Major, Op. 117: V. Allegro (Live)",Borodin Quartet,Shostakovich: Complete Quartets,44
"String Quartet No. 10 in A-Flat Major, Op. 118: I. Andante",Borodin Quartet,Shostakovich: Complete Quartets,45
"String Quartet No. 10 in A-Flat Major, Op. 118: II. Allegretto furioso",Borodin Quartet,Shostakovich: Complete Quartets,46
"String Quartet No. 10 in A-Flat Major, Op. 118: III. Adagio",Borodin Quartet,Shostakovich: Complete Quartets,47
"String Quartet No. 10 in A-Flat Major, Op. 118: IV. Allegretto",Borodin Quartet,Shostakovich: Complete Quartets,48
"String Quartet No. 11 in F Minor, Op. 122: I. Introduction",Borodin Quartet,Shostakovich: Complete Quartets,49
"String Quartet No. 11 in F Minor, Op. 122: II. Scherzo",Borodin Quartet,Shostakovich: Complete Quartets,50
"String Quartet No. 11 in F Minor, Op. 122: III. Recitative",Borodin Quartet,Shostakovich: Complete Quartets,51
"String Quartet No. 11 in F Minor, Op. 122: IV. Etude",Borodin Quartet,Shostakovich: Complete Quartets,52
"String Quartet No. 11 in F Minor, Op. 122: V. Humoresque",Borodin Quartet,Shostakovich: Complete Quartets,53
"String Quartet No. 11 in F Minor, Op. 122: VI. Elegy",Borodin Quartet,Shostakovich: Complete Quartets,54
"String Quartet No. 11 in F Minor, Op. 122: VII. Conclusion",Borodin Quartet,Shostakovich: Complete Quartets,55
"String Quartet No. 12 in D-Flat Major, Op. 133: I. Moderato",Borodin Quartet,Shostakovich: Complete Quartets,56
"String Quartet No. 12 in D-Flat Major, Op. 133: II. Allegretto",Borodin Quartet,Shostakovich: Complete Quartets,57
"String Quartet No. 13 in B-Flat Minor, Op. 138: I. Adagio",Borodin Quartet,Shostakovich: Complete Quartets,58
"String Quartet No. 14 in F-Sharp Major, Op. 142: I. Allegretto",Borodin Quartet,Shostakovich: Complete Quartets,59
"String Quartet No. 14 in F-Sharp Major, Op. 142: II. Adagio",Borodin Quartet,Shostakovich: Complete Quartets,60
"String Quartet No. 14 in F-Sharp Major, Op. 142: III. Allegretto",Borodin Quartet,Shostakovich: Complete Quartets,61
"String Quartet No. 15 in E-Flat Minor, Op. 144: I. Elegy",Borodin Quartet,Shostakovich: Complete Quartets,62
"String Quartet No. 15 in E-Flat Minor, Op. 144: II. Serenade",Borodin Quartet,Shostakovich: Complete Quartets,63
"String Quartet No. 15 in E-Flat Minor, Op. 144: III. Intermezzo",Borodin Quartet,Shostakovich: Complete Quartets,64
"String Quartet No. 15 in E-Flat Minor, Op. 144: IV. Nocturne",Borodin Quartet,Shostakovich: Complete Quartets,65
"String Quartet No. 15 in E-Flat Minor, Op. 144: V. Funeral March",Borodin Quartet,Shostakovich: Complete Quartets,66
"String Quartet No. 15 in E-Flat Minor, Op. 144: VI. Epilogue",Borodin Quartet,Shostakovich: Complete Quartets,67
Todo Está Aquí,Julieta Venegas,Algo Sucede,12
Explosión,Julieta Venegas,Algo Sucede,11
Dos Soledades,Julieta Venegas,Algo Sucede,7
"Buenas Noches, Desolación",Julieta Venegas,Algo Sucede,6
Una Respuesta,Julieta Venegas,Algo Sucede,5
Algo Sucede,Julieta Venegas,Algo Sucede,4
Tu Calor,Julieta Venegas,Algo Sucede,2
Esperaba,Julieta Venegas,Algo Sucede,1
Ese Camino,Julieta Venegas,Algo Sucede,3
Parte Mía,Julieta Venegas,Algo Sucede,10
Porvenir,Julieta Venegas,Algo Sucede,9
Se Explicará,Julieta Venegas,Algo Sucede,8
Get Some Scars,Lux Lisbon,Get Some Scars EP,1
Bullingdon Club,Lux Lisbon,Get Some Scars EP,2
Your Heart Is a Weapon the Size of Your Fist,Lux Lisbon,Get Some Scars EP,3
The Devil Got Me Dancing,Lux Lisbon,Get Some Scars EP,4
The Death of General Wolfe,Goldmund,All Will Prosper,1
Ashoken Farewell,Goldmund,All Will Prosper,2
All Quiet On The Potomac,Goldmund,All Will Prosper,3
Amazing Grace,Goldmund,All Will Prosper,4
Dixie,Goldmund,All Will Prosper,5
The Flag of Columbia Shall Float O'er Us Still,Goldmund,All Will Prosper,6
